Categoria,name,Municipi,Open
5,Abac restaurant & hotel ,Barcelona,Si
5,Hotel Claris ,Barcelona,Si
5,Hotel El Palace ,Barcelona,Si
5,Eurostars Grand Marina Hotel ,Barcelona,Si
5,Hotel Arts Barcelona ,Barcelona,Si
5,Hotel Miramar ,Barcelona,Si
5,Hotel The Serras ,Barcelona,Si
5,Hotel Le Meridien Barcelona ,Barcelona,Si
5,Hotel Majestic ,Barcelona,Si
5,Hotel Mandarin Oriental Barcelona ,Barcelona,Si
5,Hotel Mercer Barcelona ,Barcelona,Si
5,Monument Hotel ,Barcelona,Si
5,Hotel DO: Placa Reial ,Barcelona,Si
5,Hotel The Barcelona Edition ,Barcelona,Si
5,Hotel W Barcelona ,Barcelona,Si
5,Suites Avenue,Barcelona,Si
5,Hotel Cotton House ,Barcelona,Si
5,Hotel Neri ,Barcelona,Si
5,Hotel Kimpton Vividora ,Barcelona,Si
5,Hotel Melia  Barcelona Sarria ,Barcelona,Si
5,NH Collection Barcelona Gran Hotel Calderon ,Barcelona,Si
5,Hotel Ohla ,Barcelona,Si
5,Hotel Ohla Eixample ,Barcelona,Si
5,Hotel Renaissance Barcelona ,Barcelona,Si
5,Hotel Sir Victor ,Barcelona,Si
5,Hotel Soho House ,Barcelona,Si
5,Hotel The Level at Melia Barcelona Sky ,Barcelona,Si
5,Casa Neri Luxury Apartments,Barcelona,Si
5,Casp74 Apartments,Barcelona,Si
4,Abba Sants Hotel ,Barcelona,Si
4,Alexandra Barcelona,Barcelona,Si
4,Hotel Catalonia Ramblas ,Barcelona,Si
4,Hotel Duquesa de Cardona ,Barcelona,Si
4,Gallery Hotel ,Barcelona,Si
4,Gran Hotel Havana ,Barcelona,Si
4,Hotel Guitart Grand Passage ,Barcelona,Si
4,Hotel H10 Art Gallery ,Barcelona,Si
4,Hotel H10 Casa Mimosa ,Barcelona,Si
4,Hotel H10 Cubik ,Barcelona,Si
4,Hotel H10 Madison,Barcelona,Si
4,Hotel H10 Port Vell ,Barcelona,Si
