name,created,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,type_of_contact,phone_number,hotel_Rating,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y,month_created,year_created
Hotel Balmoral ,1984-05-29 22:00:00+00:00,Via Augusta,5,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,Centraleta,932178700,4,42937703921294704,4583085639865460,4139620718347950,2155190161506960,5,1984
Hotel Fornos ,1984-05-29 22:00:00+00:00,C Rambla,44,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Tel.,933182024,2,43100882773755600,4581225140356750,4137959188566090,21749199534758200,5,1984
Hotel Granvia ,1984-05-29 22:00:00+00:00,G.V. Corts Catalanes,642,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,933181900,3,43056889077459200,4582390495894150,4139005003654940,2169525637778740,5,1984
Hotel Nouvel ,1984-05-29 22:00:00+00:00,C Santa Anna,18,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Tel.,933018274,3,43073264629176704,4581861958085160,4138530378088550,21715445758064500,5,1984
Hotel Silken Sant Gervasi ,2000-05-17 22:00:00+00:00,C Sant Gervasi de Cassoles,26,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,BARCELONA,Centraleta,932531740,3,42802010219409800,4584043072241010,41404710071918704,21388460431523300,5,2000
BCN Urban Hotels Gran Ronda ,2005-11-16 10:34:34+00:00,Rda Sant Antoni,49,10,Sant Antoni,2,Eixample,8011,BARCELONA,Tel.,933271800,3,4300593508849800,4581630959200870,4138316499424970,21635192734302100,11,2005
Hotel Villa Emilia by Katja & Antoine ,2006-11-13 15:40:51+00:00,C Calàbria,115,9,la Nova Esquerra de l'Eixample,2,Eixample,8015,BARCELONA,Tel.,932525285,4,4292699336251550,4581318792083320,4138028439778810,21541153677803700,11,2006
Hotel  HG City Suites Barcelona ,1997-09-30 22:00:00+00:00,Via Augusta,89,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,Tel.,932373940,4,4289507532452850,4583606999690720,41400865323262000,2150030176756050,9,1997
Hotel HCC Taber ,1996-09-16 22:00:00+00:00,C Aragó,256,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Centraleta,934873887,3,43003490094953400,45824636010707904,4139066219821350,21631307242099900,9,1996
Hotel Evenia Rocafort ,2003-12-03 12:24:03+00:00,C Rocafort,25,10,Sant Antoni,2,Eixample,8015,BARCELONA,Informació,932892400,3,4295222712657840,4580869954517110,4137626400901890,21571850375481800,12,2003
Hotel Curious ,2001-08-03 22:00:00+00:00,C Carme,25,1,el Raval,1,Ciutat Vella,8001,BARCELONA,Tel.,933014484,1,43064273623314600,4581535252255110,41382353495881696,21705067337945400,8,2001
Hotel Renaissance Barcelona ,1996-09-17 22:00:00+00:00,C Pau Claris,122,7,la Dreta de l'Eixample,2,Eixample,8009,BARCELONA,Centraleta,932723810,5,43038376451065000,4582696393871540,41392789157463904,2167276383207320,9,1996
Hotel Holiday Inn Express Barcelona City 22@ ,2013-07-02 12:20:28+00:00,C Pallars,203,68,el Poblenou,10,Sant Martí,8005,BARCELONA,Tel.,934338400,3,4329533693477360,4583648472103420,41401582591546400,21979046757940500,7,2013
Hotel Picasso K + K ,2012-08-09 12:26:46+00:00,Pg Picasso,26,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,BARCELONA,Tel.,935478600,4,43178336404943104,4582000716944710,41386643327597600,21840945753982700,8,2012
H10 Universitat ,2005-01-13 13:24:24+00:00,Rda Universitat,21,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,933427850,4,4303244762231960,4582037962283760,4138685374561610,216664300883231,1,2005
Hotel Constanza ,2004-03-23 08:37:23+00:00,C Bruc,33,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,Tel.,932701910,2,43085836792562704,45825626272740000,4139162530580110,2172968114848730,3,2004
Hotel Sunotel Club Central ,2013-10-17 12:11:50+00:00,C València,157,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8011,BARCELONA,Tel.,934520533,4,4295077221343860,45821722698039,4138799224863280,21568595683161,10,2013
BarcelonaGo Hotel & Apartments ,2014-03-25 12:29:44+00:00,C Lepant,143,5,el Fort Pienc,2,Eixample,8013,BARCELONA,Tel.,932317552,2,4318266293638610,4583308708192200,41398427691777104,21844647675363300,3,2014
Hotel Catalonia Gran Via ,2013-01-09 10:55:23+00:00,G.V. Corts Catalanes,550,10,Sant Antoni,2,Eixample,8011,BARCELONA,Tel.,932360000,4,4297998934059460,4581637798080350,4138320399223040,21604157237214200,1,2013
Hotel Ibis Barcelona Centro (Sagrada Familia) ,2013-01-28 12:32:20+00:00,C Nàpols,230,6,la Sagrada Família,2,Eixample,8013,BARCELONA,Tel.,932080536,2,4308283290083510,4583580507338360,4140079043887670,21724925670371000,1,2013
Hotel Regencia Colon ,1996-09-17 22:00:00+00:00,C Sagristans,13,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Centraleta,933189858,3,4310764469488770,45818656291196,4138536637388070,2175655693401080,9,1996
Hotel Serhs Carlit ,2004-09-22 08:06:07+00:00,C Diputació,383,7,la Dreta de l'Eixample,2,Eixample,8013,BARCELONA,Centraleta,935052600,3,43110625639086496,4583175701343640,4139716834363270,21758631715778100,9,2004
Hotel HCC Lugano ,2012-06-21 09:22:22+00:00,Av Paral·lel,172,10,Sant Antoni,2,Eixample,8015,BARCELONA,Tel.,935579797,3,42939417353546896,45807553346092704,41375220436346200,21556666785280900,6,2012
Hotel Catalonia Catedral ,2012-06-07 08:13:08+00:00,C Arcs,10,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Tel.,933436775,4,43097701192972400,4581796292775950,4138473335697830,21744744411202500,6,2012
Hotel Zenit Borrell ,2004-10-27 14:40:22+00:00,C Comte Borrell,208,9,la Nova Esquerra de l'Eixample,2,Eixample,8029,BARCELONA,Tel.,934525566,4,4290528616015620,4581954786830960,4138599346732160,2151445135952770,10,2004
HCC Hotel St. Moritz ,1996-09-17 22:00:00+00:00,C Diputació,262,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Centraleta,934121500,4,43043906901506704,4582493701860490,4139096836219780,2167961127610150,9,1996
Hotel Toledano ,1996-09-16 22:00:00+00:00,C Rambla,138,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Centraleta,933010872,1,430656744033181,4581844702237990,4138514182378770,2170638831395400,9,1996
Hotel H10 Raco del Pi ,2002-02-12 23:00:00+00:00,C Pi,7,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Tel.,933426190,3,43093196039907200,4581643401258840,4138335244260380,21739531000240000,2,2002
Hotel Continental Palacete ,2002-03-27 23:00:00+00:00,Rbla Catalunya,30,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,934457657,3,43023902198682800,4582361282111290,41389758375212496,21655838001642000,3,2002
