name,created,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,type_of_contact,phone_number,hotel_Rating,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y,month_created,year_created
Alberg Center Rambles ,2002-07-06 08:38:49+00:00,C Hospital,63,1,el Raval,1,Ciutat Vella,8001,BARCELONA,Tel.,934124069,0,43065858012113200,4581331372248220,413805185765298,21707195328025000,7,2002
Alberg Fernando ,1991-01-07 23:00:00+00:00,C Ferran,31,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Tel.,933017973,0,43105724322458896,4581431165355760,4138145164237970,2175475468533940,1,1991
Residencia Estudiants Religiosa Maria Immaculada,1996-09-17 22:00:00+00:00,Consell de Cent,393,7,la Dreta de l'Eixample,2,Eixample,8009,BARCELONA,Tel.,934878930,0,43063824699417904,4582906186877120,41394700682603296,2170296073372870,9,1996
Residencia Universitaria Internacional Agora BCN,2006-07-03 13:14:02+00:00,Pg Castanyers,21,43,Horta,7,Horta-Guinardó,8035,BARCELONA,Tel.,935040420,0,4289488693610330,4587883634005900,4143938303106750,2149505229325450,7,2006
Residencia Universitaria Internacional Agora BCN,2006-07-03 13:14:02+00:00,Pg Castanyers,21,43,Horta,7,Horta-Guinardó,8035,BARCELONA,Tel.,935040420,0,4289488693610330,4587883634005900,4143938303106750,2149505229325450,7,2006
Residencia Juvenes,2004-04-26 21:30:00+00:00,C Balmes,23,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,934537947,0,4301378330135440,4582153237120400,41387875800281296,21643975887384300,4,2004
Casa de la Jove,1994-04-27 22:00:00+00:00,C Amistat,15,68,el Poblenou,10,Sant Martí,8005,BARCELONA,Tel.,932155626,0,4335927811683360,4583480786865120,4140012536076030,2205571801602070,4,1994
Collegi Major Mater Salvatoris,1995-03-01 23:00:00+00:00,Emancipació,33,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,BARCELONA,Tel.,932126900,0,42747930347941400,4583895913560610,4140333607410300,21323943694890700,3,1995
Residencia Universitaria Torre Girona,2002-06-25 18:14:54+00:00,Pg Til.lers,19,21,Pedralbes,4,Les Corts,8034,BARCELONA,Tel.,933904300,0,4258844823345900,4582254045231110,41388403084535000,2113517757319550,6,2002
Residencia Universitaria Apimec,1998-10-23 22:00:00+00:00,C Bruc,136,7,la Dreta de l'Eixample,2,Eixample,8037,BARCELONA,Tel.,934579351,0,4302876643450010,4583177236160900,4139711161787590,21660716314146700,10,1998
